region,year,actor,actorType,eventType,intensity,sourceName,sourceUrl
kachin,2024,Armed-conflict events (ACLED aggregated),unknown,clash,99,ACLED (aggregated data file),https://acleddata.com
kachin,2024,Armed-conflict events (ACLED aggregated),unknown,airstrike,83,ACLED (aggregated data file),https://acleddata.com
kachin,2024,Armed-conflict events (ACLED aggregated),unknown,territorial_control,67,ACLED (aggregated data file),https://acleddata.com
kachin,2025,Armed-conflict events (ACLED aggregated),unknown,clash,96,ACLED (aggregated data file),https://acleddata.com
kachin,2025,Armed-conflict events (ACLED aggregated),unknown,airstrike,88,ACLED (aggregated data file),https://acleddata.com
kachin,2025,Armed-conflict events (ACLED aggregated),unknown,territorial_control,65,ACLED (aggregated data file),https://acleddata.com
kayah,2024,Armed-conflict events (ACLED aggregated),unknown,clash,81,ACLED (aggregated data file),https://acleddata.com
kayah,2024,Armed-conflict events (ACLED aggregated),unknown,airstrike,63,ACLED (aggregated data file),https://acleddata.com
kayah,2024,Armed-conflict events (ACLED aggregated),unknown,territorial_control,44,ACLED (aggregated data file),https://acleddata.com
kayah,2025,Armed-conflict events (ACLED aggregated),unknown,clash,82,ACLED (aggregated data file),https://acleddata.com
kayah,2025,Armed-conflict events (ACLED aggregated),unknown,airstrike,74,ACLED (aggregated data file),https://acleddata.com
kayah,2025,Armed-conflict events (ACLED aggregated),unknown,territorial_control,57,ACLED (aggregated data file),https://acleddata.com
shan_east,2024,Armed-conflict events (ACLED aggregated),unknown,clash,33,ACLED (aggregated data file),https://acleddata.com
shan_east,2024,Armed-conflict events (ACLED aggregated),unknown,territorial_control,29,ACLED (aggregated data file),https://acleddata.com
shan_east,2024,Armed-conflict events (ACLED aggregated),unknown,airstrike,19,ACLED (aggregated data file),https://acleddata.com
shan_east,2025,Armed-conflict events (ACLED aggregated),unknown,clash,36,ACLED (aggregated data file),https://acleddata.com
shan_east,2025,Armed-conflict events (ACLED aggregated),unknown,territorial_control,25,ACLED (aggregated data file),https://acleddata.com
shan_north,2024,Armed-conflict events (ACLED aggregated),unknown,clash,100,ACLED (aggregated data file),https://acleddata.com
shan_north,2024,Armed-conflict events (ACLED aggregated),unknown,airstrike,95,ACLED (aggregated data file),https://acleddata.com
shan_north,2024,Armed-conflict events (ACLED aggregated),unknown,territorial_control,66,ACLED (aggregated data file),https://acleddata.com
shan_north,2025,Armed-conflict events (ACLED aggregated),unknown,airstrike,88,ACLED (aggregated data file),https://acleddata.com
shan_north,2025,Armed-conflict events (ACLED aggregated),unknown,clash,85,ACLED (aggregated data file),https://acleddata.com
shan_north,2025,Armed-conflict events (ACLED aggregated),unknown,territorial_control,71,ACLED (aggregated data file),https://acleddata.com
shan_south,2024,Armed-conflict events (ACLED aggregated),unknown,clash,94,ACLED (aggregated data file),https://acleddata.com
shan_south,2024,Armed-conflict events (ACLED aggregated),unknown,airstrike,81,ACLED (aggregated data file),https://acleddata.com
shan_south,2024,Armed-conflict events (ACLED aggregated),unknown,territorial_control,65,ACLED (aggregated data file),https://acleddata.com
shan_south,2025,Armed-conflict events (ACLED aggregated),unknown,clash,92,ACLED (aggregated data file),https://acleddata.com
shan_south,2025,Armed-conflict events (ACLED aggregated),unknown,airstrike,74,ACLED (aggregated data file),https://acleddata.com
shan_south,2025,Armed-conflict events (ACLED aggregated),unknown,territorial_control,66,ACLED (aggregated data file),https://acleddata.com